DateKey,Date,Day,WeekNr,Month,MonthShort,MonthNr,Quarter,Year
20050101,2005-01-01,Saturday,1,January,Jan,1,1,2005
20050102,2005-01-02,Sunday,2,January,Jan,1,1,2005
20050103,2005-01-03,Monday,2,January,Jan,1,1,2005
20050104,2005-01-04,Tuesday,2,January,Jan,1,1,2005
20050105,2005-01-05,Wednesday,2,January,Jan,1,1,2005
20050106,2005-01-06,Thursday,2,January,Jan,1,1,2005
20050107,2005-01-07,Friday,2,January,Jan,1,1,2005
20050108,2005-01-08,Saturday,2,January,Jan,1,1,2005
20050109,2005-01-09,Sunday,3,January,Jan,1,1,2005
20050110,2005-01-10,Monday,3,January,Jan,1,1,2005
20050111,2005-01-11,Tuesday,3,January,Jan,1,1,2005
20050112,2005-01-12,Wednesday,3,January,Jan,1,1,2005
20050113,2005-01-13,Thursday,3,January,Jan,1,1,2005
20050114,2005-01-14,Friday,3,January,Jan,1,1,2005
20050115,2005-01-15,Saturday,3,January,Jan,1,1,2005
20050116,2005-01-16,Sunday,4,January,Jan,1,1,2005
20050117,2005-01-17,Monday,4,January,Jan,1,1,2005
20050118,2005-01-18,Tuesday,4,January,Jan,1,1,2005
20050119,2005-01-19,Wednesday,4,January,Jan,1,1,2005
20050120,2005-01-20,Thursday,4,January,Jan,1,1,2005
20050121,2005-01-21,Friday,4,January,Jan,1,1,2005
20050122,2005-01-22,Saturday,4,January,Jan,1,1,2005
20050123,2005-01-23,Sunday,5,January,Jan,1,1,2005
20050124,2005-01-24,Monday,5,January,Jan,1,1,2005
20050125,2005-01-25,Tuesday,5,January,Jan,1,1,2005
20050126,2005-01-26,Wednesday,5,January,Jan,1,1,2005
20050127,2005-01-27,Thursday,5,January,Jan,1,1,2005
20050128,2005-01-28,Friday,5,January,Jan,1,1,2005
20050129,2005-01-29,Saturday,5,January,Jan,1,1,2005
20050130,2005-01-30,Sunday,6,January,Jan,1,1,2005
20050131,2005-01-31,Monday,6,January,Jan,1,1,2005
20050201,2005-02-01,Tuesday,6,February,Feb,2,1,2005
20050202,2005-02-02,Wednesday,6,February,Feb,2,1,2005
20050203,2005-02-03,Thursday,6,February,Feb,2,1,2005
20050204,2005-02-04,Friday,6,February,Feb,2,1,2005
20050205,2005-02-05,Saturday,6,February,Feb,2,1,2005
20050206,2005-02-06,Sunday,7,February,Feb,2,1,2005
20050207,2005-02-07,Monday,7,February,Feb,2,1,2005
20050208,2005-02-08,Tuesday,7,February,Feb,2,1,2005
20050209,2005-02-09,Wednesday,7,February,Feb,2,1,2005
20050210,2005-02-10,Thursday,7,February,Feb,2,1,2005
20050211,2005-02-11,Friday,7,February,Feb,2,1,2005
20050212,2005-02-12,Saturday,7,February,Feb,2,1,2005
20050213,2005-02-13,Sunday,8,February,Feb,2,1,2005
20050214,2005-02-14,Monday,8,February,Feb,2,1,2005
20050215,2005-02-15,Tuesday,8,February,Feb,2,1,2005
20050216,2005-02-16,Wednesday,8,February,Feb,2,1,2005
20050217,2005-02-17,Thursday,8,February,Feb,2,1,2005
20050218,2005-02-18,Friday,8,February,Feb,2,1,2005
20050219,2005-02-19,Saturday,8,February,Feb,2,1,2005
20050220,2005-02-20,Sunday,9,February,Feb,2,1,2005
20050221,2005-02-21,Monday,9,February,Feb,2,1,2005
20050222,2005-02-22,Tuesday,9,February,Feb,2,1,2005
20050223,2005-02-23,Wednesday,9,February,Feb,2,1,2005
20050224,2005-02-24,Thursday,9,February,Feb,2,1,2005
20050225,2005-02-25,Friday,9,February,Feb,2,1,2005
20050226,2005-02-26,Saturday,9,February,Feb,2,1,2005
20050227,2005-02-27,Sunday,10,February,Feb,2,1,2005
20050228,2005-02-28,Monday,10,February,Feb,2,1,2005
20050301,2005-03-01,Tuesday,10,March,Mar,3,1,2005
20050302,2005-03-02,Wednesday,10,March,Mar,3,1,2005
20050303,2005-03-03,Thursday,10,March,Mar,3,1,2005
20050304,2005-03-04,Friday,10,March,Mar,3,1,2005
20050305,2005-03-05,Saturday,10,March,Mar,3,1,2005
20050306,2005-03-06,Sunday,11,March,Mar,3,1,2005
20050307,2005-03-07,Monday,11,March,Mar,3,1,2005
20050308,2005-03-08,Tuesday,11,March,Mar,3,1,2005
20050309,2005-03-09,Wednesday,11,March,Mar,3,1,2005
20050310,2005-03-10,Thursday,11,March,Mar,3,1,2005
20050311,2005-03-11,Friday,11,March,Mar,3,1,2005
20050312,2005-03-12,Saturday,11,March,Mar,3,1,2005
20050313,2005-03-13,Sunday,12,March,Mar,3,1,2005
20050314,2005-03-14,Monday,12,March,Mar,3,1,2005
20050315,2005-03-15,Tuesday,12,March,Mar,3,1,2005
20050316,2005-03-16,Wednesday,12,March,Mar,3,1,2005
20050317,2005-03-17,Thursday,12,March,Mar,3,1,2005
20050318,2005-03-18,Friday,12,March,Mar,3,1,2005
20050319,2005-03-19,Saturday,12,March,Mar,3,1,2005
20050320,2005-03-20,Sunday,13,March,Mar,3,1,2005
20050321,2005-03-21,Monday,13,March,Mar,3,1,2005
20050322,2005-03-22,Tuesday,13,March,Mar,3,1,2005
20050323,2005-03-23,Wednesday,13,March,Mar,3,1,2005
20050324,2005-03-24,Thursday,13,March,Mar,3,1,2005
20050325,2005-03-25,Friday,13,March,Mar,3,1,2005
20050326,2005-03-26,Saturday,13,March,Mar,3,1,2005
20050327,2005-03-27,Sunday,14,March,Mar,3,1,2005
20050328,2005-03-28,Monday,14,March,Mar,3,1,2005
20050329,2005-03-29,Tuesday,14,March,Mar,3,1,2005
20050330,2005-03-30,Wednesday,14,March,Mar,3,1,2005
20050331,2005-03-31,Thursday,14,March,Mar,3,1,2005
20050401,2005-04-01,Friday,14,April,Apr,4,2,2005
20050402,2005-04-02,Saturday,14,April,Apr,4,2,2005
